document_number,document_district,document_date,file_name,document_page_number,paragraph_number,event_date,location_text,map_coordinate,type,initiator,initiator_numbers,target,target_numbers,affected_count,government_killed,government_wounded,government_captured,rebels_killed,rebels_wounded,rebels_captured,civilians_killed,civilians_wounded,civilians_captured
2,BARINGO,Period 1/3/53 - 31/3/53,Baringo_FCO_141-5829_IMG_1554_1L,,Sep-53,Apr-53,BARINGO,,Screening,Government,,Civilians,,2,,,,,,,,,
10,BARINGO,Jan-54,Baringo_FCO_141-5829_IMG_1543_1L,,May-54,19.11.53,KISANANA,,Capture,Civilians,,Rebels,1,,,,,,,1,,,
10,BARINGO,Jan-54,Baringo_FCO_141-5829_IMG_1543_1L,,May-54,Jan-54,OL ARABEL AREA,,Theft,Rebels,Gang,Livestock,,2 Goats,,,,,,,,,
10,BARINGO,Jan-54,Baringo_FCO_141-5829_IMG_1543_1L,,May-54,Jan-54,OL ARABEL AREA,,Theft,Rebels,Gang,Livestock,,2,,,,,,,,,
17,BARINGO,August 19554,Baringo_FCO_141-5829_IMG_1533_1L,,50/54,Aug-55,ENDEROIS LOCATION,,Contact,Civilians,,Rebels,9,,,,,1,1,3,,,
24,BARINGO,Jan-55,Baringo_FCO_141-5829_IMG_1521_1L,,Mar-55,3.1.55,CHURO,,Kidnap,Rebels,25,Moran,,4,,,,,,,,,
24,BARINGO,Jan-55,Baringo_FCO_141-5829_IMG_1521_1L,,Mar-55,3.1.55,REUBENS FARM NEAR CHURO,,Vandalism,Rebels,,Cattle,,Cattle slashed,,,,,,,,,
24,BARINGO,Jan-55,Baringo_FCO_141-5829_IMG_1521_1L,,Mar-55,3.1.55,REUBENS FARM NEAR CHURO,,Vandalism,Rebels,,Livestock,,some,,,,,,,,,
28,BARINGO,Feb-55,Baringo_FCO_141-5829_IMG_1519_1L,,Dec-55,2.2.55,REUBENS FARM NEAR CHURO,,Theft,Rebels,6-Apr,Livestock,,1 ox,,,,,,,,,
28,BARINGO,Feb-55,Baringo_FCO_141-5829_IMG_1519_1L,,Dec-55,2.2.55,REUBENS FARM NEAR CHURO,,Theft,Rebels,6-Apr,Livestock,,1,,,,,,,,,
33,BARINGO,Mar-55,Baringo_FCO_141-5829_IMG_1516_1L,,20/55,11.3.55,LAKE HANNINGTON,,Contact,Tugen tribesmen,,Rebels,2,,,,,1,,1,1,,1
33,BARINGO,Mar-55,Baringo_FCO_141-5829_IMG_1516_1L,,23/55,23.3.55,NGINYANG ROAD,,Theft,Rebels,1,Land Rover,,1,,,,,,,,,
35,BARINGO,Jun-55,Baringo_FCO_141-5829_IMG_1509_1L,,52/55,24.6.55,CHURO,,Contact,Police and Moran,,Rebels,8,,,,,7,,1,,,
35,BARINGO,Jun-55,Baringo_FCO_141-5829_IMG_1509_1L,,53/55,26.6.55,KOROSSI,,Capture,Government,,Rebels,2,,,,,,,2,,,
35,BARINGO,Jun-55,Baringo_FCO_141-5829_IMG_1510_1L,2,54/55,22.6.55,MARIGAT,,Screening,Government,,Civilians,,1,,,,,,,,,
35,BARINGO,May-55,Baringo_FCO_141-5829_IMG_1512_1L,2,43/55,May-55,TANGULBEI,,Contact,Civilians,15,Rebels,2,,,,,1,,1,,,
35,BARINGO,May-55,Baringo_FCO_141-5829_IMG_1512_1L,2,43/55,May-55,CHURO,,Contact,Civilians,,Rebels,Small gang,,,,,1,,,,,
35,BARINGO,May-55,Baringo_FCO_141-5829_IMG_1512_1L,2,46/55,May-55,ELDAMA RAVINE,,Contact,Government,,Rebels,1,,,,,1,,,,,
36,BARINGO,Jul-55,Baringo_FCO_141-5829_IMG_1505_1L,,60/55,Jul-55,RIBKWO and LOYOMORUK,,Capture,Civilians,,Rebels,1,,,,,,,1,,,
37,BARINGO,Aug-55,Baringo_FCO_141-5829_IMG_1503_1L,,69/55,17.8.55,Baringo,,Capture,Civilians,,Rebels,3,,,,,,,3,,,
37,BARINGO,Aug-55,Baringo_FCO_141-5829_IMG_1503_1L,,69/55,21.8.55,Baringo,,Capture,Civilians,,Rebels,1,,,,,,,1,,,
38,BARINGO,Sep-55,Baringo_FCO_141-5829_IMG_1501_1L,,74/55,Oct-55,CHURO,,Vandalism,Rebels,2,Cattle,,2 Cattle,,,,,,,,,
38,BARINGO,Sep-55,Baringo_FCO_141-5829_IMG_1501_1L,,74/55,Oct-55,CHURO,,Contact,Moran,,Rebels,2,,,,,,1,,,,
38,BARINGO,Sep-55,Baringo_FCO_141-5829_IMG_1501_1L,,78/55,Oct-55,ELDORET,,Capture,Government,,Rebels,1,,,,,,,1,,,
38,BARINGO,Sep-55,Baringo_FCO_141-5829_IMG_1501_1L,,74/55,Oct-55,CHURO,,Vandalism,Rebels,2,Cattle,,2,,,,,,,,,
39,BARINGO,Oct-55,Baringo_FCO_141-5829_IMG_1500_1L,,82/55,Oct-55,,,Capture,Government,,Rebels,1,,,,,,,1,,,
40,BARINGO,Nov-55,Baringo_FCO_141-5829_IMG_1498_1L,,88/55,1.11.55,CHURO,,Contact,Government,,Rebels,1,,,,,1,,,,,
48,BARINGO,Jul-56,Baringo_FCO_141-5829_IMG_1482_1L,2,55/56,Jun-56,CHAMASUSU,,Contact,Rebels,,Headman,,,,,,,,,,,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1312_1L,,,,,,,,,,,,,,,,,,,,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1316_1L,,1,16.03.1953,Othaya S.N.R,HZR 4237,Contact,Guard,,Gang,,,1,,,2,1,,,,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1316_1L,,2,17.03.1953,Thara Valley Fort Hall,HZR 4237,Contact,Guard,,African,,,,,,1,,,,,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1316_1L,,3,17.03.1953,Loc 8 Fort Hall,HZR 4515,Contact,Guard,,Man,,,,,,1,,,,,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1316_1L,,4,12.03.1953,Bericho Embu,HZR 6542,Arson,Mau Mau,,Huts,,12,,,,,,,,,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1316_1L,,5,16.03.1953,Nanyuki,HZR 6797,Contact,Guard,,Gang,,,,1,,1,,,,,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1316_1L,,6,17.03.1953,Giakanja,HZR 3747,Contact,Guard,,Mau Mau,,,,,,1,,,,,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1316_1L,,7,16/17.03.1953,Kirimukuyu,HZR 5342,Arson,Mau Mau,,Store,,1,,,,,,,,,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1316_1L,,8,16.03.1953,Loc 5 Fort Hall,HZJ 5595,Contact,Mau Mau,,Guard,,,,,,1,,3,,,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1317_1L,,9,18.03.1953,Sagana River S.N.R,HZR 6234,Contact,Guard,,Gang,Small,,,,,,,1,,,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1317_1L,,10,19.03.1953,Hiriga S.N.R,HZR 5055,Contact,Guard,,Gang,,,,,,,,,,,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1317_1L,,11,19.03.1953,Kabage Forest Nyeri,HZR 2656,Theft,Mau Mau,,Guard,,,,,,,,,,,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1317_1L,,12,19.03.1953,Mrs.Clark's Farm,HZR 1868,Arson,Mau Mau,,Cattle dip,,,,,,,,,,,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1317_1L,,13,17/18.03.1953,Loc 12 Fort Hall,HZR 1868,Murder,Mau Mau,,School Master,,,1,,,,,,,,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1317_1L,,14,19.03.1953,General Hickman's Farm,HZR 2862,Theft,Mau Mau,,Livestock,,7,,,,,,,,,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1317_1L,,15,14.03.1953,Embu,HZR 6948,Arson,Mau Mau,,House,,1,,,,,,,,,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1318_1L,,17,18.03.1953,Loc 14 Fort Hall,HZR 4632,Contact,Mau Mau,,Guard,,,,1,,,1,,,,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1318_1L,,18,20.03.1953,Kairuthi S.N.R,HZR 3242,Contact,Guard,,Mau Mau,,,,,,1,,,,,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1318_1L,,20,20.03.1953,Bericho Embu,HZR 7348,Arson,Mau Mau,,Civilian,,,,,,,,,,3,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1318_1L,,21,22.03.1953,Thegenga Loc,HZR 3545,Contact,Guard,,Gang,2,,,,,2,,,,,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1318_1L,,22,21.03.1953,"Loca.8,910. F.H",,Contact,Guard,,Gang,Small,,,,,6,6,8,,,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1318_1L,,24,21.03.1953,Burguret Estate Nanyuki,HZR 4494,Contact,Guard,,Gang,,,,,,1,1,,,,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1318_1L,,20,20.03.1953,Bericho Embu,HZR 7348,Attack,Mau Mau,,Civilian,,,,,,,,,,3,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1319_1L,,25,21.03.1953,Naro Moru,HZR 4888,Arson,Mau Mau,,Car,,1,,,,,,,,2,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1319_1L,,26,22.03.1953,Karibu,HZR 3448,Contact,Guard,,Gang,,,,,,,1,,,,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1319_1L,,27,22.03.1953,S.N.R,HZR 2746,Contact,Mau Mau,,Guard,,,,3,,,,,,,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1319_1L,,28,22.03.1953,Nyeri,HZR 3854,Murder,Mau Mau,,Civilian,,,,,,,,,1,,
