"","event_hash","variable","place_hash","name_cleaner_a","name_cleaner_b","rex_match","string_dist_osa"
"1","100ad840","V1","352e7879cfc84e37","kenyona","mairiesublocation",NA,14
"2","100ad840","V2","9da888b17484f69d","kenyona","mairi",NA,7
"3","100ad840","V3","2a7809149318fd02","kenyona","getiani",NA,5
"4","100ad840","V5","40e0e2502af408f3","kenyona","mairie",NA,7
"5","100ad840","V6","660afa1a3349e0bd","kenyona","mairii",NA,7
"6","100ad840","V7","04c16ed0d8bfd2fa","kenyona","mairit",NA,7
"7","100bbc21","V1","bacf54d129a23015","wk bastards farm","ronkai",NA,14
"8","100bbc21","V2","923b22d0b01876c9","wk bastards farm","rongai",NA,14
"9","100bbc21","V6","47fee23d180ca50f","wk bastards farm","thagara",NA,12
"10","100bbc21","V7","95339fa2b56c6f74","wk bastards farm","sagara",NA,12
"11","100bbc21","V8","2d6ce443b03a6939","wk bastards farm","kangaita",NA,12
"12","100bbc21","V9","54864c10155fbe31","wk bastards farm","naromoru",NA,13
"13","100bbc21","V10","b7924a55b80f7bc8","wk bastards farm","ol pejeta conservancy",NA,16
"14","101d44e3","V1","211c4eaf8c1412d8","embu","karingari",NA,9
"15","101d44e3","V2","5c05bd21184efe11","embu","kianjokoma",NA,10
"16","101d44e3","V3","512fdd4cefad3dd8","embu","kianiokoma",NA,10
"17","101d44e3","V8","81f48f41e9c0a4ca","embu","mbuinjeru",NA,7
"18","101d44e3","V9","451003855d14808f","embu","kanja sublocation",NA,16
"19","101d69fa","V1","8a5a9009e12e8678","iohiaohd","gwarth hill",NA,10
"20","101d69fa","V2","8b7217ad8f77090d","iohiaohd","ol doinyo orasha hill",NA,17
"21","101d69fa","V3","b44f8f735a5bda96","iohiaohd","oldoinyo orasha",NA,11
"22","101d69fa","V4","6d0c2fc8dde76e98","iohiaohd","ol doinyo narasha",NA,13
"23","101d69fa","V9","3024b27e42091308","iohiaohd","kanyaiti",NA,7
"24","101e11b3","V1","f08ff80f99f17da2","kiamatugu","kariru",NA,6
"25","101e11b3","V2","fe1bd4b94443fd94","kiamatugu","mshagara",NA,8
"26","101e11b3","V4","a7a6d7651b41bbcf","kiamatugu","gitoba",NA,7
"27","101e11b3","V6","684dd55a687a6733","kiamatugu","muchagara",NA,8
"28","101e11b3","V8","0263e5ed549fab48","kiamatugu","mucagara",NA,8
"29","1024291","V1","7256c9119045f165","ndaragu","nakuru",NA,4
"30","1024291","V2","fddfbee7b24c14ad","ndaragu","kajiado",NA,6
"31","1024291","V3","4233044529b5a5c6","ndaragu","north kaptei",NA,10
"32","1024291","V5","ccbb4b2f0f59d2af","ndaragu","kitenkela",NA,9
"33","1024291","V7","5685b44b559548ef","ndaragu","ngong hills circuit",NA,17
"34","1024291","V8","c419877c14d464a4","ndaragu","kiserian",NA,7
"35","1024291","V9","5e6f37cddbab8221","ndaragu","k1 butchery",NA,11
"36","102ac6db","V1","d578f6766c3f7b94","maggius farm","karichora",NA,9
"37","102ac6db","V5","3d10b341d26ab28a","maggius farm","kitirisettlement",NA,14
"38","102ac6db","V6","4125308aa2df7f3b","maggius farm","kitiri settlement",NA,14
"39","102ac6db","V8","931d79e8dfd4d4c5","maggius farm","karea",NA,10
"40","102ac6db","V9","07431d856b88b727","maggius farm","laigiri",NA,8
"41","10301033","V1","661f8c69ca034aad","moutons farm","silangafarm",NA,7
"42","10301033","V2","34340f03deb8c64d","moutons farm","silanga farm",NA,7
"43","10301033","V5","dd572b5acd74ee64","moutons farm","anchorage farm",NA,8
"44","10301033","V6","fe9ac569243f3527","moutons farm","rurii",NA,11
"45","10301033","V8","acbaabfc0011dbb8","moutons farm","ol kalou",NA,10
"46","10301033","V10","830661bada46581a","moutons farm","ol kalau station",NA,14
"47","103c72f2","V1","a84b0f71a67efa2d","swifts farm","kanyiriri",NA,10
"48","103c72f2","V4","33b3bee565bf4448","swifts farm","uaso nyiro",NA,10
"49","103c72f2","V6","00fb736554585c30","swifts farm","uaso nyiro settlement",NA,17
"50","103c72f2","V9","065d269a469f1533","swifts farm","kanyaiti",NA,11
"51","103c72f2","V10","f487b15c14097287","swifts farm","kinyaiti",NA,10
"52","10415eb","V1","0578549151d5b9d1","killicks farm","badgeworth estate",NA,15
"53","10415eb","V4","7278cae17a100af3","killicks farm","badgeworthestate",NA,15
"54","10415eb","V5","817a1b55faa23ba3","killicks farm","ruaka rui",NA,11
"55","10415eb","V6","60daf92725a86da6","killicks farm","riara ridge road",NA,13
"56","10415eb","V7","5520c77bf9a1446e","killicks farm","menengai",NA,12
"57","10415eb","V10","49b23f4da4bd45ab","killicks farm","niara",NA,10
"58","1046e5c3","V1","51d6b0176c1c4659","dundori","gilgil",NA,7
"59","1046e5c3","V3","c4c65f014e4600d4","dundori","khirgil",NA,7
"60","1046e5c3","V4","661b87fb32d85451","dundori","upper gilgil",NA,10
"61","1064b32e","V1","ecc95b2573faf52a","kp randalls farm","zawadi",NA,14
"62","1064b32e","V4","2e0570d4a50520db","kp randalls farm","olpejeta ranching estate",NA,17
"63","1064b32e","V6","296c7aaf82412eca","kp randalls farm","olpejetaranchingestate",NA,17
"64","1064b32e","V7","609b4a3a1e4e155e","kp randalls farm","segara",NA,13
"65","1064b32e","V8","4734e6cf25c6fbb8","kp randalls farm","segera ranch",NA,14
"66","107ea2e9","V1","2c7bd32ec7bc01d2","mweign","the ark",NA,6
"67","107ea2e9","V2","d9429242ead8aa82","mweign","kamatongu",NA,7
"68","107ea2e9","V4","b5e02eba767da102","mweign","githinguri",NA,8
"69","107ea2e9","V5","488f24d9967f6500","mweign","githunguri",NA,9
"70","107ea2e9","V8","176a5004c194070e","mweign","samaki farm",NA,9
"71","107ea2e9","V10","aa771e91202d66cb","mweign","mitero",NA,5
"72","107ed72e","V1","4a64c04b550c1960","tfalls","pondo",NA,6
"73","107ed72e","V4","74fad22d7aa868ed","tfalls","maeli saba",NA,8
"74","107ed72e","V5","bf38ec0f0f73110e","tfalls","aberdareforest",NA,12
"75","107ed72e","V6","ff86fa5511cee298","tfalls","maina",NA,5
"76","107ed72e","V8","369ef57bbfda33d8","tfalls","siron",NA,6
"77","108d072","V1","b5bfd5316286bd30","ayres farm","ilugwa",NA,9
"78","108d072","V5","4af3fd4f4614f808","ayres farm","timau",NA,9
"79","108d072","V6","3528f7b29f02c1ce","ayres farm","aggett",NA,8
"80","108d072","V7","aea0d3a227030089","ayres farm","ngusishi",NA,9
"81","10a9bb1b","V1","55bb9fec6ab1e4a5","kahura estate","ngorongo tea factory",NA,16
"82","10a9bb1b","V3","40427906f473b473","kahura estate","niaro",NA,12
"83","10a9bb1b","V4","2ab0d9fc86d8db93","kahura estate","niara",NA,11
"84","10a9bb1b","V8","3086a218dc6786d4","kahura estate","kamondo",NA,11
"85","10bb2e11","V1","389907f6a1160f28","ansteys farm","liasho",NA,11
"86","10bb2e11","V2","49a062ff076401ef","ansteys farm","karameno",NA,11
"87","10bb2e11","V4","6984e38c924ebdea","ansteys farm","liashu",NA,11
