"","LocationName","LocationType","LatitudeDegrees","LatitudeMinutes","LatitudeDirection","LongitudeDegrees","LongitudeMinutes","LongitudeDirection","LocationCode","MapCode","FileName","latitude","longitude","FileName_num","LocationName_clean","LocationType_txt","LocationType_category"
"1","CHEBUAN PLAINS SEE CHEBIWON PLAINS"," PLN",0,8,"N",35,59,"E",56630,0,"page41.tiff",0.133333333333333,35.9833333333333,41,"chebuan plains see chebiwon plains"," PLN"," PLN"
"2","ELGEYO VALLEY SEE KEIYO VALLEY"," VAL",0,45,"N",35,35,"E",56630,0,"page60.tiff",0.75,35.5833333333333,60,"elgeyo valley see keiyo valley"," VAL"," VAL"
"3","GAT EGI SUB-LOCATION","ADM",0,45,"S",37,30,"E",56660,1,"page74.tiff",-0.75,37.5,74,"gat egi sub-location","ADM",""
"4"," GATHAITE SUB-LOCATION","ADMD",0,57,"S",36,51,"E",56640,1,"page74.tiff",-0.95,36.85,74," gathaite sub-location","administrative division","political"
"5","ABOM SUB-LOCATION","ADMD",0,4,"S",34,20,"E",56620,0,"page15.tiff",-0.0666666666666667,34.3333333333333,15,"abom sub-location","administrative division","political"
"6","ABOSI SUB-LOCATION","ADMD",0,54,"S",35,4,"E",56630,0,"page15.tiff",-0.9,35.0666666666667,15,"abosi sub-location","administrative division","political"
"7","AGORO SUB-LOCATION","ADMD",0,4,"N",34,20,"E",56620,0,"page16.tiff",0.0666666666666667,34.3333333333333,16,"agoro sub-location","administrative division","political"
"8","AGORO SUB-LOCATION","ADMD",0,16,"S",34,59,"E",56620,0,"page16.tiff",-0.266666666666667,34.9833333333333,16,"agoro sub-location","administrative division","political"
"9","AGUTHI LOCATION","ADMD",0,30,"S",37,0,"E",56640,1,"page16.tiff",-0.5,37,16,"aguthi location","administrative division","political"
"10","AINABKOI SUB-LOCATION","ADMD",0,28,"S",35,11,"E",56630,0,"page17.tiff",-0.466666666666667,35.1833333333333,17,"ainabkoi sub-location","administrative division","political"
"11","AJIGO SUB-LOCATION","ADMD",0,5,"S",34,18,"E",56620,0,"page17.tiff",-0.0833333333333333,34.3,17,"ajigo sub-location","administrative division","political"
"12","AKACHIO LOCATION","ADMD",0,7,"N",38,0,"E",56660,1,"page17.tiff",0.116666666666667,38,17,"akachio location","administrative division","political"
"13","AKIRANGONDU SUB-LOCATION","ADMD",0,20,"N",37,54,"E",56660,1,"page17.tiff",0.333333333333333,37.9,17,"akirangondu sub-location","administrative division","political"
"14","AKIRIAMET SUB-LOCATION","ADMD",1,22,"N",35,46,"E",56630,0,"page18.tiff",1.36666666666667,35.7666666666667,18,"akiriamet sub-location","administrative division","political"
"15","AKITHEO SUB-LOCATION","ADMD",0,9,"N",37,48,"E",56660,1,"page18.tiff",0.15,37.8,18,"akitheo sub-location","administrative division","political"
"16","AKITHII LOCATION","ADMD",0,10,"N",37,48,"E",56660,1,"page18.tiff",0.166666666666667,37.8,18,"akithii location","administrative division","political"
